firstName,lastName,hireDate,seasons
Bill,Doba,2002-12-18T00:00:00.000Z,"[{'school': 'Washington State', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 4.1, 'spOverall': 13, 'spOffense': 39.6, 'spDefense': 26.6}]"
Karl,Dorrell,2002-12-18T00:00:00.000Z,"[{'school': 'UCLA', 'year': 2005, 'games': 12, 'wins': 10, 'losses': 2, 'ties': 0, 'preseasonRank': None, 'postseasonRank': 16, 'srs': 10.6, 'spOverall': 8.7, 'spOffense': 39.2, 'spDefense': 30.5}]"
Randy,Edsall,,"[{'school': 'UConn', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -0.2, 'spOverall': 1.4, 'spOffense': 18.8, 'spDefense': 17.4}]"
Kirk,Ferentz,1998-12-02T00:00:00.000Z,"[{'school': 'Iowa', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': 11, 'postseasonRank': None, 'srs': 15.5, 'spOverall': 20.9, 'spOffense': 38.5, 'spDefense': 17.6}]"
Dennis,Franchione,2002-12-06T00:00:00.000Z,"[{'school': 'Texas A&M', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': 17, 'postseasonRank': None, 'srs': 4.2, 'spOverall': 7.3, 'spOffense': 36.9, 'spDefense': 29.6}]"
Ralph,Friedgen,2000-11-29T00:00:00.000Z,"[{'school': 'Maryland', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 5.3, 'spOverall': 9, 'spOffense': 30.3, 'spDefense': 21.4}]"
Phillip,Fulmer,,"[{'school': 'Tennessee', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': 3, 'postseasonRank': None, 'srs': 4.4, 'spOverall': 12.3, 'spOffense': 23.7, 'spDefense': 11.4}]"
Chan,Gailey,2001-12-29T00:00:00.000Z,"[{'school': 'Georgia Tech', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 5.4, 'spOverall': 6.9, 'spOffense': 22.7, 'spDefense': 15.8}]"
Jeff,Genyk,2003-12-01T00:00:00.000Z,"[{'school': 'Eastern Michigan', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -8.5, 'spOverall': -18.5, 'spOffense': 19, 'spDefense': 37.5}]"
Joe,Glenn,2002-12-11T00:00:00.000Z,"[{'school': 'Wyoming', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -5, 'spOverall': -4, 'spOffense': 23.3, 'spDefense': 27.3}]"
