first_name,last_name,school,year,wins,losses,sp_overall,sp_offense,sp_defense,coach_name
Larry,Blakeney,Troy,2011,3,9,-18.5,19.8,37.3,Larry Blakeney
Bill,Blankenship,Tulsa,2011,8,5,2.5,29.8,27.3,Bill Blankenship
Art,Briles,Baylor,2011,10,3,10.9,47.0,35.5,Art Briles
Mack,Brown,Texas,2011,8,5,18.6,31.1,13.0,Mack Brown
Troy,Calhoun,Air Force,2011,7,6,-0.7,32.9,33.9,Troy Calhoun
Neil,Callaway,UAB,2011,3,9,-19.2,22.9,42.8,Neil Callaway
Matt,Campbell,Toledo,2011,1,0,6.2,36.0,30.0,Matt Campbell
Gene,Chizik,Auburn,2011,8,5,9.0,31.2,24.0,Gene Chizik
Dave,Christensen,Wyoming,2011,8,5,-14.2,24.3,36.7,Dave Christensen
Dave,Clawson,Bowling Green,2011,5,7,-2.0,26.6,28.5,Dave Clawson
Mario,Cristobal,Florida International,2011,8,5,-8.5,17.5,26.9,Mario Cristobal
Bill,Cubit,Western Michigan,2011,7,6,-0.3,30.8,33.2,Bill Cubit
David,Cutcliffe,Duke,2011,3,9,-13.3,23.1,35.5,David Cutcliffe
Mark,Dantonio,Michigan State,2011,11,3,20.2,33.5,14.7,Mark Dantonio
Tim,DeRuyter,Texas A&M,2011,1,0,22.7,41.8,20.5,Tim DeRuyter
Dave,Doeren,Northern Illinois,2011,11,3,2.2,32.7,29.6,Dave Doeren
Derek,Dooley,Tennessee,2011,5,7,6.9,27.0,18.8,Derek Dooley
Sonny,Dykes,Louisiana Tech,2011,8,5,1.9,23.6,22.9,Sonny Dykes
Randy,Edsall,Maryland,2011,2,10,-8.0,26.6,32.8,Randy Edsall
Rich,Ellerson,Army,2011,3,9,-20.9,19.9,37.7,Rich Ellerson
Jon,Embree,Colorado,2011,3,10,-8.8,26.0,34.6,Jon Embree
Ron,English,Eastern Michigan,2011,6,6,-15.3,16.1,31.4,Ron English
Dan,Enos,Central Michigan,2011,3,9,-18.9,21.1,39.2,Dan Enos
Dennis,Erickson,Arizona State,2011,6,7,9.9,36.6,27.9,Dennis Erickson
Steve,Fairchild,Colorado State,2011,3,9,-12.6,22.3,34.4,Steve Fairchild
Larry,Fedora,Southern Miss,2011,12,2,12.2,30.8,19.7,Larry Fedora
Kirk,Ferentz,Iowa,2011,7,6,12.8,32.4,19.7,Kirk Ferentz
Luke,Fickell,Ohio State,2011,6,7,13.2,28.5,17.0,Luke Fickell
Jimbo,Fisher,Florida State,2011,9,4,22.8,32.2,12.1,Jimbo Fisher
Pat,Fitzgerald,Northwestern,2011,6,7,0.6,33.3,31.2,Pat Fitzgerald
James,Franklin,Vanderbilt,2011,6,7,8.1,26.8,17.8,James Franklin
Hugh,Freeze,Arkansas State,2011,10,3,-3.3,23.3,26.2,Hugh Freeze
Turner,Gill,Kansas,2011,2,10,-15.0,25.6,38.7,Turner Gill
Al,Golden,Miami,2011,6,6,16.4,35.9,21.2,Al Golden
Todd,Graham,Pittsburgh,2011,6,6,5.6,25.6,20.9,Todd Graham
Jim,Grobe,Wake Forest,2011,6,7,-3.5,26.4,28.9,Jim Grobe
Mike,Gundy,Oklahoma State,2011,12,1,29.4,49.2,21.4,Mike Gundy
Bobby,Hauck,UNLV,2011,2,10,-24.1,14.3,37.9,Bobby Hauck
Darrell,Hazell,Kent State,2011,5,7,-10.4,11.8,21.9,Darrell Hazell
Pat,Hill,Fresno State,2011,4,9,-6.0,30.4,35.7,Pat Hill
Brady,Hoke,Michigan,2011,11,2,20.0,39.3,18.8,Brady Hoke
Dana,Holgorsen,West Virginia,2011,10,3,16.8,38.7,21.0,Dana Holgorsen
Doc,Holliday,Marshall,2011,7,6,-8.0,20.5,28.5,Doc Holliday
Skip,Holtz,South Florida,2011,5,7,9.7,29.8,19.8,Skip Holtz
Danny,Hope,Purdue,2011,7,6,3.1,26.5,24.8,Danny Hope
Mark,Hudspeth,Louisiana,2011,9,4,-9.8,22.0,33.1,Mark Hudspeth
Rob,Ianello,Akron,2011,1,11,-29.1,11.9,40.2,Rob Ianello
Paul,Johnson,Georgia Tech,2011,8,5,5.1,32.6,26.3,Paul Johnson
Butch,Jones,Cincinnati,2011,10,3,12.8,30.1,17.8,Butch Jones
June,Jones,SMU,2011,8,5,0.3,28.6,26.3,June Jones
Brian,Kelly,Notre Dame,2011,8,5,17.2,34.6,17.0,Brian Kelly
Chip,Kelly,Oregon,2011,12,2,27.2,46.3,19.9,Chip Kelly
Lane,Kiffin,USC,2011,10,2,24.7,43.5,21.0,Lane Kiffin
Jerry,Kill,Minnesota,2011,3,9,-3.8,23.8,28.1,Jerry Kill
Tim,Kish,Arizona,2011,3,3,-2.4,35.9,36.4,Tim Kish
Pete,Lembo,Ball State,2011,6,6,-13.6,24.4,38.4,Pete Lembo
Mike,Locksley,New Mexico,2011,0,4,-27.9,16.9,41.9,Mike Locksley
Mike,London,Virginia,2011,8,5,3.7,27.5,23.0,Mike London
Rocky,Long,San Diego State,2011,8,5,-1.5,29.9,30.2,Rocky Long
Mike,MacIntyre,San José State,2011,5,7,-11.9,23.5,35.2,Mike MacIntyre
Doug,Marrone,Syracuse,2011,5,7,-2.9,25.2,26.9,Doug Marrone
Dan,McCarney,North Texas,2011,5,7,-18.1,18.7,36.2,Dan McCarney
Greg,McMackin,Hawai'i,2011,6,7,-2.1,29.5,31.2,Greg McMackin
Ruffin,McNeill,East Carolina,2011,5,7,-3.0,26.8,29.8,Ruffin McNeill
Bronco,Mendenhall,BYU,2011,10,3,6.9,26.5,19.2,Bronco Mendenhall
Les,Miles,LSU,2011,13,1,31.9,37.5,7.7,Les Miles
Dan,Mullen,Mississippi State,2011,7,6,8.0,26.0,18.2,Dan Mullen
Will,Muschamp,Florida,2011,7,6,14.7,28.6,15.9,Will Muschamp
Rick,Neuheisel,UCLA,2011,6,6,3.5,32.0,29.0,Rick Neuheisel
Ken,Niumatalolo,Navy,2011,5,7,-9.4,29.6,38.0,Ken Niumatalolo
Houston,Nutt,Ole Miss,2011,2,10,-9.7,19.9,31.4,Houston Nutt
Tom,O'Brien,NC State,2011,8,5,-1.1,24.5,24.4,Tom O'Brien
George,O'Leary,UCF,2011,5,7,5.1,27.0,22.7,George O'Leary
Paul,Pasqualoni,UConn,2011,5,7,-1.0,19.7,21.7,Paul Pasqualoni
Joe,Paterno,Penn State,2011,8,1,11.5,25.2,13.3,Joe Paterno
Gary,Patterson,TCU,2011,11,2,15.7,37.7,23.3,Gary Patterson
Bo,Pelini,Nebraska,2011,9,4,14.5,32.4,19.4,Bo Pelini
Chris,Petersen,Boise State,2011,12,1,23.0,40.1,17.5,Chris Petersen
Bobby,Petrino,Arkansas,2011,11,2,21.6,39.5,19.9,Bobby Petrino
Joker,Phillips,Kentucky,2011,5,7,-5.0,16.4,23.1,Joker Phillips
Gary,Pinkel,Missouri,2011,8,5,15.0,37.7,22.0,Gary Pinkel
Larry,Porter,Memphis,2011,2,10,-25.9,14.6,38.3,Larry Porter
Mike,Price,UTEP,2011,5,7,-4.1,26.8,31.9,Mike Price
Jeff,Quinn,Buffalo,2011,3,9,-19.5,17.7,35.8,Jeff Quinn
Paul,Rhoads,Iowa State,2011,6,7,-0.4,24.8,25.0,Paul Rhoads
Mark,Richt,Georgia,2011,10,4,22.9,32.7,10.3,Mark Richt
Mike,Riley,Oregon State,2011,3,9,-5.2,25.2,30.6,Mike Riley
Nick,Saban,Alabama,2011,12,1,32.5,39.3,6.4,Nick Saban
Steve,Sarkisian,Washington,2011,7,6,3.9,36.4,34.4,Steve Sarkisian
Greg,Schiano,Rutgers,2011,9,4,0.8,20.5,19.3,Greg Schiano
Howard,Schnellenberger,Florida Atlantic,2011,1,11,-30.7,6.6,35.4,Howard Schnellenberger
David,Shaw,Stanford,2011,11,2,20.0,44.6,24.5,David Shaw
Mike,Sherman,Texas A&M,2011,6,6,22.7,41.8,20.5,Mike Sherman
Bill,Snyder,Kansas State,2011,10,3,7.6,32.1,24.6,Bill Snyder
Frank,Solich,Ohio,2011,10,4,0.9,30.3,30.8,Frank Solich
Frank,Spaziani,Boston College,2011,4,8,-4.5,21.0,24.9,Frank Spaziani
Steve,Spurrier,South Carolina,2011,11,2,18.6,33.3,14.6,Steve Spurrier
Rick,Stockstill,Middle Tennessee,2011,2,10,-24.6,16.6,40.0,Rick Stockstill
Bob,Stoops,Oklahoma,2011,10,3,30.1,42.7,14.6,Bob Stoops
Mike,Stoops,Arizona,2011,1,5,-2.4,35.9,36.4,Mike Stoops
Charlie,Strong,Louisville,2011,7,6,7.2,25.5,18.8,Charlie Strong
Kevin,Sumlin,Houston,2011,12,1,14.2,40.3,26.5,Kevin Sumlin
Dabo,Swinney,Clemson,2011,10,4,7.8,35.4,28.9,Dabo Swinney
Willie,Taggart,Western Kentucky,2011,7,5,-16.1,16.9,32.4,Willie Taggart
Jeff,Tedford,California,2011,7,6,12.2,32.2,21.1,Jeff Tedford
Bob,Toledo,Tulane,2011,2,5,-21.9,16.9,37.7,Bob Toledo
Don,Treadwell,Miami (OH),2011,4,8,-5.3,25.3,27.6,Don Treadwell
Tommy,Tuberville,Texas Tech,2011,5,7,4.8,38.6,34.5,Tommy Tuberville
DeWayne,Walker,New Mexico State,2011,4,9,-18.7,23.3,39.4,DeWayne Walker
Kyle,Whittingham,Utah,2011,8,5,6.4,22.8,18.3,Kyle Whittingham
Kevin,Wilson,Indiana,2011,1,11,-16.9,21.8,38.5,Kevin Wilson
Everett,Withers,North Carolina,2011,7,6,6.4,32.9,25.2,Everett Withers
Paul,Wulff,Washington State,2011,4,8,-1.7,29.9,32.3,Paul Wulff
Ron,Zook,Illinois,2011,6,6,6.8,23.6,17.1,Ron Zook
Steve,Addazio,Temple,2012,4,7,-11.6,21.6,36.0,Steve Addazio
Barry,Alvarez,Wisconsin,2012,0,1,14.5,31.5,15.9,Barry Alvarez
Gary,Andersen,Utah State,2012,11,2,11.0,30.4,20.5,Gary Andersen
Chris,Ault,Nevada,2012,7,6,-2.0,36.4,37.7,Chris Ault
David,Bailiff,Rice,2012,7,6,-7.6,25.6,34.0,David Bailiff
Frank,Beamer,Virginia Tech,2012,7,6,12.7,27.8,14.8,Frank Beamer
Tim,Beckman,Illinois,2012,2,10,-9.8,21.2,32.1,Tim Beckman
Todd,Berry,UL Monroe,2012,8,5,-12.0,26.6,37.1,Todd Berry
Bret,Bielema,Wisconsin,2012,8,5,14.5,31.5,15.9,Bret Bielema
Larry,Blakeney,Troy,2012,5,7,-3.5,32.0,35.7,Larry Blakeney
Bill,Blankenship,Tulsa,2012,11,3,2.6,25.7,22.4,Bill Blankenship
Terry,Bowden,Akron,2012,1,11,-19.5,20.0,39.0,Terry Bowden
Art,Briles,Baylor,2012,8,5,11.0,45.2,33.3,Art Briles
Mack,Brown,Texas,2012,9,4,18.6,42.2,23.4,Mack Brown
Troy,Calhoun,Air Force,2012,6,7,-10.0,28.0,36.2,Troy Calhoun
Matt,Campbell,Toledo,2012,9,4,-4.0,30.1,35.5,Matt Campbell
Rod,Carey,Northern Illinois,2012,0,1,12.4,35.6,25.4,Rod Carey
Jim,Chaney,Tennessee,2012,1,0,15.1,42.6,28.3,Jim Chaney
Gene,Chizik,Auburn,2012,3,9,4.8,28.0,25.1,Gene Chizik
Norm,Chow,Hawai'i,2012,3,9,-19.1,14.7,32.8,Norm Chow
Dave,Christensen,Wyoming,2012,4,8,-14.2,26.6,39.2,Dave Christensen
Paul,Chryst,Pittsburgh,2012,6,7,5.7,27.5,21.5,Paul Chryst
Dave,Clawson,Bowling Green,2012,8,5,-4.0,20.7,21.7,Dave Clawson
Larry,Coker,UTSA,2012,8,4,-20.1,23.5,42.4,Larry Coker
Mario,Cristobal,Florida International,2012,3,9,-12.7,23.5,34.6,Mario Cristobal
Bill,Cubit,Western Michigan,2012,4,8,-9.8,25.4,33.0,Bill Cubit
David,Cutcliffe,Duke,2012,6,7,-7.1,28.3,36.4,David Cutcliffe
Mark,Dantonio,Michigan State,2012,7,6,12.4,21.3,10.2,Mark Dantonio
Bob,Davie,New Mexico,2012,4,9,-13.4,26.6,39.8,Bob Davie
Tim,DeRuyter,Fresno State,2012,9,4,12.5,31.9,19.6,Tim DeRuyter
Dave,Doeren,Northern Illinois,2012,12,1,12.4,35.6,25.4,Dave Doeren
Derek,Dooley,Tennessee,2012,4,7,15.1,42.6,28.3,Derek Dooley
Sonny,Dykes,Louisiana Tech,2012,9,3,0.2,39.4,39.7,Sonny Dykes
Randy,Edsall,Maryland,2012,4,8,-7.8,17.6,23.3,Randy Edsall
Rich,Ellerson,Army,2012,2,10,-23.1,23.1,44.8,Rich Ellerson
Jon,Embree,Colorado,2012,1,11,-17.2,20.2,37.5,Jon Embree
Ron,English,Eastern Michigan,2012,2,10,-23.0,17.9,42.2,Ron English
Dan,Enos,Central Michigan,2012,7,6,-11.6,28.4,40.0,Dan Enos
Larry,Fedora,North Carolina,2012,8,4,14.1,39.7,26.6,Larry Fedora
Kirk,Ferentz,Iowa,2012,4,8,0.5,22.5,22.4,Kirk Ferentz
Jimbo,Fisher,Florida State,2012,12,2,30.8,40.8,12.7,Jimbo Fisher
