year,team,conference,wins,losses,games
2007,Notre Dame,FBS Independents,3,9,12
2007,Kentucky,SEC,8,5,13
2007,Louisville,Big East,6,6,12
2007,Western Kentucky,FBS Independents,7,5,12
2007,LSU,SEC,12,2,14
2007,Boston College,ACC,11,3,14
2007,Maryland,ACC,6,7,13
2007,Michigan State,Big Ten,7,6,13
2007,Michigan,Big Ten,9,4,13
2007,Minnesota,Big Ten,1,11,12
2007,Missouri,Big 12,12,2,14
2007,Ole Miss,SEC,3,9,12
2007,Duke,ACC,1,11,12
2007,East Carolina,Conference USA,8,5,13
2007,NC State,ACC,5,7,12
2007,North Carolina,ACC,4,8,12
2007,Wake Forest,ACC,9,4,13
2007,Nebraska,Big 12,5,7,12
2007,Rutgers,Big East,8,5,13
2007,New Mexico State,Western Athletic,4,9,13
2007,New Mexico,Mountain West,9,4,13
2007,Syracuse,Big East,2,10,12
2007,Bowling Green,Mid-American,8,5,13
2007,Miami (OH),Mid-American,6,7,13
2007,Ohio State,Big Ten,11,2,13
2007,Ohio,Mid-American,6,6,12
2007,Oklahoma State,Big 12,7,6,13
2007,Oklahoma,Big 12,11,3,14
2007,Tulsa,Conference USA,10,4,14
2007,Oregon State,Pac-10,9,4,13
2007,Penn State,Big Ten,9,4,13
2007,Temple,Mid-American,4,8,12
2007,Pittsburgh,Big East,5,7,12
2007,Clemson,ACC,9,4,13
2007,Memphis,Conference USA,7,6,13
2007,Vanderbilt,SEC,5,7,12
2007,Baylor,Big 12,3,9,12
2007,Rice,Conference USA,3,9,12
2007,Texas A&M,Big 12,7,6,13
2007,Houston,Conference USA,8,5,13
2007,North Texas,Sun Belt,2,10,12
2007,Texas,Big 12,10,3,13
2007,BYU,Mountain West,11,2,13
2007,Utah,Mountain West,9,4,13
2007,Virginia,ACC,9,4,13
2007,Virginia Tech,ACC,11,3,14
2007,Washington,Pac-10,4,9,13
2007,Washington State,Pac-10,5,7,12
2007,Wisconsin,Big Ten,9,4,13
2007,Marshall,Conference USA,3,9,12
2007,West Virginia,Big East,11,2,13
2007,Fresno State,Western Athletic,9,4,13
2007,Louisiana,Sun Belt,3,9,12
2007,Utah State,Western Athletic,2,10,12
2007,Alabama,SEC,7,6,13
2007,Mississippi State,SEC,8,5,13
2007,Army,FBS Independents,3,9,12
2007,Illinois,Big Ten,9,4,13
2007,Air Force,Mountain West,9,4,13
2007,Akron,Mid-American,4,8,12
2007,Arkansas State,Sun Belt,5,7,12
2007,Ball State,Mid-American,7,6,13
2007,Buffalo,Mid-American,5,7,12
2007,UCF,Conference USA,10,4,14
2007,Central Michigan,Mid-American,8,6,14
2007,Cincinnati,Big East,10,3,13
2007,Eastern Michigan,Mid-American,4,8,12
2007,Florida Atlantic,Sun Belt,8,5,13
2007,Florida International,Sun Belt,1,11,12
2007,Iowa,Big Ten,6,6,12
2007,Kansas,Big 12,12,1,13
2007,Kansas State,Big 12,5,7,12
2007,Kent State,Mid-American,3,9,12
2007,Louisiana Tech,Western Athletic,5,7,12
2007,Miami,ACC,5,7,12
2007,Middle Tennessee,Sun Belt,5,7,12
2007,Navy,FBS Independents,8,5,13
2007,UL Monroe,Sun Belt,6,6,12
2007,UNLV,Mountain West,2,10,12
2007,Nevada,Western Athletic,6,7,13
2007,Northern Illinois,Mid-American,2,10,12
2007,Oregon,Pac-10,9,4,13
2007,Purdue,Big Ten,8,5,13
2007,SMU,Conference USA,1,11,12
2007,Southern Miss,Conference USA,7,6,13
2007,South Carolina,SEC,6,6,12
2007,TCU,Mountain West,8,5,13
2007,Tennessee,SEC,10,4,14
2007,UTEP,Conference USA,4,8,12
2007,Texas Tech,Big 12,9,4,13
2007,Toledo,Mid-American,5,7,12
2007,Troy,Sun Belt,8,4,12
2007,Tulane,Conference USA,4,8,12
