year,team,rec_rank,rec_points,draft_picks_total,draft_score_total,first_round_total,draft_years_covered,complete_window,expected_draft_score,development_residual,sp_rating,sp_ranking,conference,wins,losses,games,coach_name,coach_sp_overall,win_pct
2006,Arizona,19,213.58,7,24,0,3,True,28.89820039774401,-4.898200397744006,-1.0,65.0,Big 12,6.0,6.0,12.0,Mike Stoops,-1.0,0.5
2006,California,20,212.65,10,41,4,3,True,28.73282777372379,12.267172226276209,17.6,20.0,ACC,10.0,3.0,13.0,Jeff Tedford,17.6,0.7692307692307693
2006,Nebraska,21,207.2,13,35,2,3,True,27.76370863296018,7.236291367039819,14.7,25.0,Big Ten,9.0,5.0,14.0,Bill Callahan,14.7,0.6428571428571429
2006,Arkansas,22,204.67,5,12,0,3,True,27.31382396761488,-15.31382396761488,20.6,12.0,SEC,10.0,4.0,14.0,Houston Nutt,20.6,0.7142857142857143
2006,Maryland,23,202.78,9,25,1,3,True,26.977744118799613,-1.9777441187996132,4.6,50.0,Big Ten,9.0,4.0,13.0,Ralph Friedgen,4.6,0.6923076923076923
2006,Louisville,24,201.32,5,17,1,3,True,26.718126881090456,-9.718126881090456,27.3,3.0,ACC,12.0,1.0,13.0,Bobby Petrino,27.3,0.9230769230769231
2006,Ohio State,25,198.91,16,52,3,3,True,26.289580618844532,25.710419381155468,27.0,4.0,Big Ten,12.0,1.0,13.0,Jim Tressel,27.0,0.9230769230769231
2006,North Carolina,26,197.92,16,56,2,3,True,26.11353879327463,29.88646120672537,-6.2,79.0,ACC,3.0,9.0,12.0,John Bunting,-6.2,0.25
2006,Illinois,27,193.1,10,38,2,3,True,25.25644626878278,12.74355373121722,-2.8,70.0,Big Ten,2.0,10.0,12.0,Ron Zook,-2.8,0.16666666666666666
2006,Texas Tech,28,192.05,6,21,1,3,True,25.06973524166319,-4.069735241663189,17.9,18.0,Big 12,8.0,5.0,13.0,Mike Leach,17.9,0.6153846153846154
2006,Tennessee,29,191.71,9,38,3,3,True,25.00927643288161,12.990723567118394,18.9,16.0,SEC,9.0,4.0,13.0,Phillip Fulmer,18.9,0.6923076923076923
2006,Arizona State,30,188.18,7,10,0,3,True,24.381571741708115,-14.381571741708116,13.3,32.0,Big 12,7.0,6.0,13.0,Dirk Koetter,13.3,0.5384615384615384
2006,Virginia Tech,31,185.47,9,22,0,3,True,23.899679471713732,-1.899679471713732,21.0,11.0,ACC,10.0,3.0,13.0,Frank Beamer,21.0,0.7692307692307693
2006,Washington,32,183.52,4,19,1,3,True,23.552930421348776,-4.552930421348776,0.3,59.0,Big Ten,5.0,7.0,12.0,Tyrone Willingham,0.3,0.4166666666666667
2006,South Carolina,33,182.76,11,22,0,3,True,23.41778720171935,-1.4177872017193494,19.1,14.0,SEC,8.0,5.0,13.0,Steve Spurrier,19.1,0.6153846153846154
2006,Oregon State,34,180.86,11,29,0,3,True,23.079929152645803,5.9200708473541965,11.3,39.0,Pac-12,10.0,4.0,14.0,Mike Riley,11.3,0.7142857142857143
2006,Boston College,35,179.61,4,21,2,3,True,22.85765412036057,-1.8576541203605712,14.8,23.0,ACC,10.0,3.0,13.0,Tom O'Brien,14.8,0.7692307692307693
2006,Wisconsin,36,177.1,11,46,2,3,True,22.41132585553182,23.58867414446818,19.1,14.0,Big Ten,12.0,1.0,13.0,Bret Bielema,19.1,0.9230769230769231
2006,Iowa,37,174.47,16,53,2,3,True,21.9436591876037,31.0563408123963,13.4,31.0,Big Ten,6.0,7.0,13.0,Kirk Ferentz,13.4,0.46153846153846156
